<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
GAZP;1;200402;135500;183.2500000;183.2500000;182.9900000;183.0000000;138250
GAZP;1;200402;135600;183.0600000;183.1000000;182.9500000;183.0200000;28560
GAZP;1;200402;135700;183.0600000;183.0700000;182.9000000;183.0000000;95680
GAZP;1;200402;135800;182.9700000;182.9700000;182.8500000;182.8900000;97160
GAZP;1;200402;135900;182.8900000;182.9300000;182.8800000;182.9300000;24480
GAZP;1;200402;140000;182.9400000;183.1000000;182.9300000;183.1000000;106150
GAZP;1;200402;140100;183.1000000;183.1000000;183.0500000;183.1000000;22570
GAZP;1;200402;140200;183.1000000;183.1000000;183.0600000;183.0700000;1970
GAZP;1;200402;140300;183.0900000;183.1000000;183.0100000;183.0500000;10950
GAZP;1;200402;140400;183.0800000;183.0800000;182.9900000;182.9900000;16580
GAZP;1;200402;140500;183.0000000;183.0800000;182.9800000;183.0800000;6470
GAZP;1;200402;140600;183.0800000;183.0800000;182.8000000;182.8800000;122950
GAZP;1;200402;140700;182.9100000;182.9300000;182.7800000;182.8400000;71390
GAZP;1;200402;140800;182.8800000;182.9500000;182.7200000;182.7200000;44360
GAZP;1;200402;140900;182.7200000;182.7900000;182.6500000;182.7100000;85490
GAZP;1;200402;141000;182.7300000;182.8000000;182.7200000;182.7700000;8990
GAZP;1;200402;141100;182.7300000;182.7300000;182.5100000;182.5200000;109430
GAZP;1;200402;141200;182.5200000;182.6400000;182.5000000;182.6400000;155320
GAZP;1;200402;141300;182.6000000;182.7000000;182.5700000;182.6500000;24460
GAZP;1;200402;141400;182.6400000;182.6700000;182.5300000;182.5900000;33850
GAZP;1;200402;141500;182.5900000;182.6800000;182.5000000;182.5600000;109740
GAZP;1;200402;141600;182.5200000;182.8700000;182.5100000;182.6500000;56030
GAZP;1;200402;141700;182.7000000;182.7600000;182.5800000;182.5800000;41400
GAZP;1;200402;141800;182.5600000;182.6400000;182.5500000;182.6000000;18300
GAZP;1;200402;141900;182.6000000;182.8000000;182.6000000;182.7400000;61210
GAZP;1;200402;142000;182.7300000;182.7800000;182.6100000;182.7000000;9870
GAZP;1;200402;142100;182.6400000;182.7000000;182.6400000;182.6900000;17980
GAZP;1;200402;142200;182.6800000;182.8100000;182.6800000;182.7500000;29750
GAZP;1;200402;142300;182.7500000;182.8400000;182.6300000;182.8000000;48170
GAZP;1;200402;142400;182.7500000;182.8200000;182.6500000;182.6500000;34910
GAZP;1;200402;142500;182.6500000;182.8100000;182.6500000;182.7800000;26210
GAZP;1;200402;142600;182.8400000;182.8700000;182.6400000;182.7200000;45190
GAZP;1;200402;142700;182.7200000;182.8900000;182.7000000;182.8500000;35430
GAZP;1;200402;142800;182.8500000;182.8500000;182.7400000;182.8000000;10940
GAZP;1;200402;142900;182.8400000;182.9800000;182.8200000;182.9800000;114360
GAZP;1;200402;143000;182.9800000;182.9800000;182.8200000;182.9000000;99050
GAZP;1;200402;143100;182.9000000;182.9200000;182.6700000;182.7000000;23150
GAZP;1;200402;143200;182.7400000;182.8700000;182.7400000;182.8100000;16190
GAZP;1;200402;143300;182.8100000;182.8700000;182.7100000;182.7600000;28970
GAZP;1;200402;143400;182.7300000;182.8100000;182.7300000;182.7800000;14610
GAZP;1;200402;143500;182.7500000;182.7900000;182.6100000;182.6500000;26040
GAZP;1;200402;143600;182.6800000;182.7900000;182.6800000;182.7100000;21570
GAZP;1;200402;143700;182.7000000;182.7400000;182.6100000;182.7000000;16540
GAZP;1;200402;143800;182.7000000;182.8000000;182.6500000;182.6500000;47550
GAZP;1;200402;143900;182.6500000;182.7000000;182.5900000;182.7000000;56940
GAZP;1;200402;144000;182.6500000;182.7500000;182.5900000;182.7300000;22370
GAZP;1;200402;144100;182.7400000;182.9400000;182.6800000;182.7500000;31000
GAZP;1;200402;144200;182.8100000;183.0000000;182.6800000;182.7500000;171620
GAZP;1;200402;144300;182.7400000;182.9900000;182.6800000;182.9600000;22380
GAZP;1;200402;144400;182.9000000;183.0400000;182.8200000;182.9300000;147470
GAZP;1;200402;144500;182.9900000;183.0000000;182.8400000;182.9300000;20930
GAZP;1;200402;144600;182.9000000;183.1000000;182.8700000;182.9900000;34980
GAZP;1;200402;144700;182.9900000;183.1000000;182.9300000;183.0200000;89710
GAZP;1;200402;144800;183.1000000;183.2800000;183.0800000;183.1700000;86560
GAZP;1;200402;144900;183.1700000;183.1900000;183.0300000;183.0800000;24270
GAZP;1;200402;145000;183.1200000;183.1500000;182.9900000;183.0800000;30160
GAZP;1;200402;145100;183.0600000;183.2500000;183.0600000;183.1500000;34860
GAZP;1;200402;145200;183.1900000;183.3000000;183.1900000;183.2600000;42400
GAZP;1;200402;145300;183.2000000;183.2700000;183.2000000;183.2700000;11750
GAZP;1;200402;145400;183.2700000;183.3100000;183.2200000;183.2800000;67070
GAZP;1;200402;145500;183.2800000;183.3800000;183.2800000;183.3800000;60070
GAZP;1;200402;145600;183.3800000;183.4500000;183.3400000;183.4200000;50080
GAZP;1;200402;145700;183.3800000;183.4300000;183.3000000;183.3500000;43490
GAZP;1;200402;145800;183.3500000;183.3900000;183.2600000;183.2700000;23000
GAZP;1;200402;145900;183.3000000;183.4000000;183.2800000;183.3800000;81320
GAZP;1;200402;150000;183.3500000;183.4500000;183.3100000;183.4500000;119730
GAZP;1;200402;150100;183.4400000;183.6200000;183.3900000;183.3900000;310780
GAZP;1;200402;150200;183.3900000;183.4300000;183.1900000;183.1900000;50550
GAZP;1;200402;150300;183.1900000;183.3000000;183.1500000;183.1500000;50490
GAZP;1;200402;150400;183.1500000;183.2000000;183.1000000;183.2000000;23660
GAZP;1;200402;150500;183.2300000;183.3500000;183.1100000;183.1800000;62630
GAZP;1;200402;150600;183.1300000;183.4000000;183.1300000;183.3300000;12820
GAZP;1;200402;150700;183.3900000;183.4000000;183.2600000;183.2900000;38860
GAZP;1;200402;150800;183.2900000;183.2900000;183.1200000;183.1200000;30800
GAZP;1;200402;150900;183.1100000;183.2500000;183.1000000;183.1900000;11090
GAZP;1;200402;151000;183.1800000;183.2400000;183.1200000;183.1200000;15730
GAZP;1;200402;151100;183.1500000;183.2500000;183.1200000;183.1600000;24290
GAZP;1;200402;151200;183.1600000;183.2500000;183.0500000;183.2500000;47650
GAZP;1;200402;151300;183.2200000;183.3200000;183.1800000;183.2600000;15920
GAZP;1;200402;151400;183.2600000;183.3800000;183.2300000;183.3200000;14220
GAZP;1;200402;151500;183.3300000;183.3400000;183.1900000;183.2500000;13790
GAZP;1;200402;151600;183.2600000;183.3300000;183.2500000;183.3000000;10820
GAZP;1;200402;151700;183.3200000;183.4400000;183.1800000;183.2200000;149040
GAZP;1;200402;151800;183.2300000;183.2600000;183.1200000;183.1800000;18710
GAZP;1;200402;151900;183.1100000;183.1200000;183.0100000;183.0200000;32200
GAZP;1;200402;152000;183.0600000;183.0700000;182.8800000;182.9900000;88930
GAZP;1;200402;152100;182.9300000;183.1000000;182.9300000;183.0900000;27960
GAZP;1;200402;152200;183.1000000;183.1000000;183.0000000;183.0500000;8450
GAZP;1;200402;152300;183.0200000;183.1100000;183.0000000;183.0700000;33310
GAZP;1;200402;152400;183.0100000;183.0500000;182.9800000;183.0000000;22620
GAZP;1;200402;152500;183.0000000;183.0500000;182.7800000;182.8000000;110490
GAZP;1;200402;152600;182.8800000;182.9800000;182.8400000;182.9200000;21690
GAZP;1;200402;152700;182.9000000;182.9500000;182.8500000;182.9300000;18900
GAZP;1;200402;152800;182.9300000;182.9600000;182.8900000;182.9400000;6700
GAZP;1;200402;152900;182.9500000;183.0300000;182.9100000;183.0100000;56940
GAZP;1;200402;153000;183.0300000;183.0900000;183.0000000;183.0800000;28500
GAZP;1;200402;153100;183.0800000;183.0800000;182.8100000;182.8400000;41890
GAZP;1;200402;153200;182.8500000;183.1700000;182.7500000;183.0400000;158050
GAZP;1;200402;153300;183.0800000;183.1300000;182.9600000;183.0100000;10880
GAZP;1;200402;153400;182.9700000;183.1000000;182.8500000;182.8500000;67610
GAZP;1;200402;153500;182.8900000;182.8900000;182.7900000;182.8800000;19230
GAZP;1;200402;153600;182.8900000;182.8900000;182.7200000;182.7900000;41750
