<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
GAZP,15,20190628,171500,233.2000000,233.4300000,233.0500000,233.4000000,1121290
GAZP,15,20190628,173000,233.4000000,233.7600000,233.3500000,233.6300000,956010
GAZP,15,20190628,174500,233.6300000,233.6900000,233.3000000,233.3000000,1013640
GAZP,15,20190628,180000,233.3600000,233.3600000,232.8500000,232.9600000,2384960
GAZP,15,20190628,181500,232.9600000,233.0700000,232.8000000,232.8900000,2384330
GAZP,15,20190628,183000,232.8300000,233.3800000,232.8100000,233.0100000,1890230
GAZP,15,20190628,184500,232.9800000,233.0600000,232.8200000,233.0000000,1115740
GAZP,15,20190628,190000,232.8300000,232.8300000,232.8300000,232.8300000,1744520
GAZP,15,20190701,101500,234.1600000,235.0700000,234.1000000,234.6600000,1554540
GAZP,15,20190701,103000,234.7600000,235.4700000,234.7600000,235.1800000,1614920
GAZP,15,20190701,104500,235.1700000,236.4400000,235.0000000,236.2400000,2710800
GAZP,15,20190701,110000,236.2500000,236.4100000,235.7900000,235.8500000,1450620
GAZP,15,20190701,111500,235.9100000,236.2400000,235.7000000,236.1900000,726350
GAZP,15,20190701,113000,236.1500000,236.2000000,235.8300000,235.9800000,578280
GAZP,15,20190701,114500,236.0000000,236.2000000,235.9600000,236.1700000,267220
GAZP,15,20190701,120000,236.1300000,240.0000000,236.1300000,239.3300000,7001080
GAZP,15,20190701,121500,239.2500000,240.7000000,239.0500000,240.3200000,2076380
GAZP,15,20190701,123000,240.3200000,240.8800000,239.2400000,240.6500000,2656380
GAZP,15,20190701,124500,240.6200000,241.2000000,240.4200000,240.5000000,3023870
GAZP,15,20190701,130000,240.5400000,240.6700000,240.0800000,240.4400000,1405250
GAZP,15,20190701,131500,240.4400000,241.5000000,240.2500000,241.5000000,2632000
GAZP,15,20190701,133000,241.5000000,245.3900000,241.5000000,244.1900000,8566540
GAZP,15,20190701,134500,244.1900000,245.0000000,244.0500000,244.8400000,2373100
GAZP,15,20190701,140000,244.8500000,247.7900000,244.7700000,246.8100000,6446650
GAZP,15,20190701,141500,246.8100000,247.6900000,245.1300000,245.3000000,4366480
GAZP,15,20190701,143000,245.3000000,245.9200000,244.3100000,245.8900000,3153190
